-reid,results_bucket,cell,querySeqs
0,gmeixiong-bucket,M3_1001000362,/Users/gerry.meixiong/Downloads/querySeqs
1,gmeixiong-bucket,C3_1001000403,/Users/gerry.meixiong/Downloads/querySeqs
2,gmeixiong-bucket,O24_1001000377,/Users/gerry.meixiong/Downloads/querySeqs
3,gmeixiong-bucket,I7_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
4,gmeixiong-bucket,I2_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
5,gmeixiong-bucket,I4_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
6,gmeixiong-bucket,F1_1001000362,/Users/gerry.meixiong/Downloads/querySeqs
7,gmeixiong-bucket,M10_1001000365,/Users/gerry.meixiong/Downloads/querySeqs
8,gmeixiong-bucket,M14_1001000366,/Users/gerry.meixiong/Downloads/querySeqs
9,gmeixiong-bucket,O7_B001797,/Users/gerry.meixiong/Downloads/querySeqs
10,gmeixiong-bucket,I22_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
11,gmeixiong-bucket,I24_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
12,gmeixiong-bucket,I5_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
13,gmeixiong-bucket,H7_1001000377,/Users/gerry.meixiong/Downloads/querySeqs
14,gmeixiong-bucket,I8_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
15,gmeixiong-bucket,I15_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
16,gmeixiong-bucket,I17_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
17,gmeixiong-bucket,I14_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
18,gmeixiong-bucket,L2_1001000362,/Users/gerry.meixiong/Downloads/querySeqs
19,gmeixiong-bucket,O23_1001000377,/Users/gerry.meixiong/Downloads/querySeqs
20,gmeixiong-bucket,I23_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
21,gmeixiong-bucket,I10_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
22,gmeixiong-bucket,I9_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
23,gmeixiong-bucket,I1_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
24,gmeixiong-bucket,I3_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
25,gmeixiong-bucket,I12_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
26,gmeixiong-bucket,I18_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
27,gmeixiong-bucket,I6_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
28,gmeixiong-bucket,G5_1001000362,/Users/gerry.meixiong/Downloads/querySeqs
29,gmeixiong-bucket,J11_1001000367,/Users/gerry.meixiong/Downloads/querySeqs
30,gmeixiong-bucket,I11_1001000406,/Users/gerry.meixiong/Downloads/querySeqs
